Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
179,"Greenville",147.16500,+,0.6,Tone,103.5,103.5,23,NN,023,Tone->Tone,FM,5.00,,10.0W,"Greenville, Water Tower",,,,
180,"Bonne Terre Airport",442.32500,+,5,Tone,151.4,151.4,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Bonne Terre, Bonne Terre Airport",,,,
181,"Gillespie",444.25000,+,5,Tone,103.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Gillespie",,,,
182,"Carlinville",145.29000,-,0.6,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Carlinville",,,,
183,"Carlinville",443.27500,+,5,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Carlinville",,,,
184,"Carlinville",443.75000,+,5,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Carlinville",,,,
185,"Carlinville",146.86500,-,0.6,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Carlinville, Macoupin County Courthouse",,,,
186,"Litchfield",444.45000,+,5,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Litchfield",,,,
187,"Park Hills",146.71500,-,0.6,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Park Hills",,,,
188,"Warrenton",147.33000,+,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Warrenton, MSHP Tower West of Warrenton",,,,

189,NOAA 1,162.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
190,NOAA 2,162.400000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
191,NOAA 3,162.475000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
192,NOAA 4,162.425000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
193,NOAA 5,162.450000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
194,NOAA 6,162.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
195,NOAA 7,162.525000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
196,NOAA 8,161.650000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
197,NOAA 9,161.775000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
198,NOAA 10,161.750000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
199,NOAA 11,162.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
